"ITEM_NAME","DRUG_SHAPE","COLOR_CLASS","CHART","LINE_FRONT","LINE_BACK"
"크레바틴정10밀리그램(로수바스타틴칼슘)","원형","분홍","분홍색의 원형 필름코팅정제","null","null"
"슈틸렌정(애엽95%에탄올연조엑스(20→1))","타원형","연두","녹색의 타원형 필름코팅정","null","null"
"알포민정(콜린알포세레이트)","타원형","주황","담황색의 장방형 필름코팅정","-","null"
"셀레록스캡슐200mg(세레콕시브)","장방형","하양","흰색 내지 미황색 가루가 충전된 상하 황색줄이 있는 흰색의 경질캡슐제","null","null"
"에스알비정","원형","하양","흰색의 원형 필름코팅정","null","null"
"센트립구강용해필름20mg(타다라필)","사각형","노랑","황색의 직사각형 구강용해필름제","null","null"
"센트립구강용해필름10mg(타다라필)","사각형","노랑","황색의 직사각형 구강용해필름제","null","null"
"센트립구강용해필름5mg(타다라필)","사각형","노랑","황색의 직사각형 구강용해필름제","null","null"
"팜페낙CR정(아세클로페낙)","타원형","하양","흰색의 양면이 볼록한 장방형 필름코팅정","null","null"
"자이펜연질캡슐300mg(덱시부프로펜)","타원형","주황, 투명","미황색 내지 연한 주황색의 투명한 유상내용물이 든 주황색의 투명한 타원형 연질캡슐","null","null"
"팜비신정(팜시클로비르)","원형","하양","흰색 원형의 필름코팅정","null","null"
"넬슨세레콕시브캡슐200밀리그램(세레콕시브)","장방형","하양","흰색 내지 미황색의 분말이든 흰색의 불투명한 경질캡슐제","null","null"
"테모람캡슐250밀리그램(테모졸로미드)","장방형","하양","흰색 내지 엷은 분홍색 또는 엷은 주황색의 가루가 충진된 상부 흰색, 하부 흰색의 경질캡슐제","null","null"
"테모람캡슐20밀리그램(테모졸로미드)","장방형","주황","흰색 내지 엷은 분홍색 또는 엷은 주황색의 가루가 충진된 상부 노랑색, 하부 노랑색의 경질캡슐제","null","null"
"테모람캡슐100밀리그램(테모졸로미드)","장방형","분홍","흰색 내지 엷은 분홍색 또는 엷은 주황색의 가루가 충진된 상부 분홍색, 하부 분홍색의 경질캡슐제","null","null"
"카니움정(펠라고니움시도이데스11%에탄올건조엑스(5.5~6.6→1))","원형","갈색","적갈색의 원형 필름코팅정","null","null"
"알레자이정(레보세티리진염산염)","타원형","하양","흰색 또는 미황색의 타원형 필름코팅정","null","null"
"제로코프연질캡슐","타원형","파랑, 투명","미황색(연노랑) 또는 엷은 청색의 투명한 내용물을 함유한 청색의 투명한 장방형 연질캡슐","null","null"
"휴터민세미정(펜터민염산염)","기타","연두","연한 녹색의 타원형 정제","-","-"
"파센탄정125밀리그램(보센탄수화물)","타원형","분홍","연한 살구색의 장방형 필름코팅정","null","null"
"아리피코정10밀리그램(아리피프라졸)","타원형","분홍","분홍색의 장방형 정제","null","null"
"아리피코정15밀리그램(아리피프라졸)","원형","노랑","황색의 원형 정제","null","null"
"레보브론정(레보드로프로피진)","원형","하양","흰색 원형 정제","null","null"
"멜로텍스캡슐 7.5mg(멜록시캄)","장방형","연두","미황색 가루가 든 상·하부 담녹색의 캡슐제","null","null"
"헤리클로정500밀리그램(클래리트로마이신)","타원형","연두","노란색의 타원형 필름코팅정","-","null"
"카푸린에스정","타원형","하양","흰색~미황색의 타원형 정제","null","-"
"리액트프리미엄정","원형","갈색","적갈색의 원형 필름코팅정제","null","null"
"헬프메리골드정","장방형","연두","초록색의 장방형 장용성 필름코팅정","null","null"
"코티론정(메틸프레드니솔론)","타원형","하양","흰색의 타원형정제","null","null"
"하드칼츄어블이지정","원형","하양","흰색 원형의 씹어 먹는 정제","null","null"
"덱시드정480밀리그램(알티옥트산트로메타민염)","장방형","연두","연두색의 장방형 필름코팅정","null","null"
"바이클린정(팜시클로비르)","원형","하양","흰색의 원형 필름코팅정","null","null"
"로사탄플러스정","타원형","연두","황색의 타원형 필름코팅정","null","null"
"유로신서방정0.2밀리그램(탐스로신염산염)","원형","하양","흰색의 원형 필름코팅정제","null","null"
"류스펜정(록소프로펜나트륨수화물)","원형","하양","흰색의 원형정제","null","null"
"로라믹구강정50밀리그램(미코나졸)","원형","하양","한 면은 둥글고 다른 면은 편평한 흰색 내지 연한 황색의 정제","null","null"
"나프리정(나프로닐옥살산염)","원형","하양","하양색 원형의 필름코팅정","null","null"
"넥포정5/80밀리그램","원형","주황","어두운 노란색의 원형 필름코팅정","null","null"
"뉴스타정(아토르바스타틴칼슘)","타원형","하양","흰색의 타원형 필름코팅정","null","null"
"팜시로버정250밀리그램(팜시클로비르)","원형","하양","흰색 원형의 필름코팅정","null","null"
"라베졸정20mg(라베프라졸나트륨)","원형","노랑","담황색의 원형 장용필름코팅정","null","null"
"라베졸정10mg(라베프라졸나트륨)","원형","노랑","담황색의 원형 장용필름코팅정","null","null"
"무조날정125밀리그램(테르비나핀염산염)","원형","하양","흰색의 원형 정제","null","null"
"큐프로펜정(덱시부프로펜)","장방형","하양","흰색 장방형의 필름코팅정","null","-"
"동광로수바스타틴칼슘정10mg","원형","분홍","분홍색 원형 필름코팅정","null","-"
"동광로수바스타틴칼슘정20mg","원형","분홍","분홍색 원형 필름코팅정","null","-"
"하이엘정20밀리그램(로수바스타틴칼슘)","원형","분홍","분홍색의 원형 필름코팅정","null","null"
"하이엘정10밀리그램(로수바스타틴칼슘)","원형","분홍","분홍색의 원형 필름코팅정","null","null"
"헬프로단테정(세티리진염산염)","장방형","하양","흰색의 장방형 필름코팅정제","null","-"
"포스티노-1정(레보노르게스트렐)","원형","하양","흰색의 원형 정제","null","null"
"파라마셋이알서방정","장방형","노랑","연한 노란색의 장방형 서방성 필름코팅정","null","null"
"아모사르정5/50mg","장방형","하양","흰색의 장방형 필름코팅정","null","null"
"아모사르정5/100mg","타원형","분홍","연분홍색의 장방형 필름코팅정","null","null"
"샤인콜연질캡슐","타원형","빨강, 투명","무색의 내용물이 든 투명한 적색의 장방형 연질캡슐","null","null"
"글리세이트연질캡슐(콜린알포세레이트)","타원형","갈색","무색투명의 점조한 액을 넣은 담황색을 띤 타원형의 연질캡슐제","null","null"
"도네펙트정5mg(도네페질염산염수화물)","원형","노랑","노랑색의 원형필름코팅정","null","null"
"바클로버정(아시클로버)","기타","파랑","연한청색 방패모양의 정제","null","null"
"뮤렉실정(에페리손염산염)","원형","하양","흰색의 원형 필름코팅정","null","null"
"올산정20밀리그램(올메사탄메독소밀)","원형","하양","흰색의 원형 필름코팅정","null","-"
"올산플러스정20/12.5밀리그램","원형","주황","연한 주황색의 원형 필름코팅정","null","null"
"동광몬테루카스트츄정4밀리그램(몬테루카스트나트륨)","타원형","분홍","분홍색의 양면이 볼록한 타원형의 씹어먹는 정제","null","null"
"동광몬테루카스트츄정5밀리그램(몬테루카스트나트륨)","원형","분홍","분홍색의 양면이 볼록한 원형의 씹어먹는 정제","null","null"
"위넥스지정 5/80밀리그램","원형","주황","어두운 황색의 원형 필름코팅정","null","null"
"셀렌비연질캡슐","타원형","갈색","적색의 내용물이 들어있는 암갈색의 장방형 연질캡슐제","null","null"
"메사르정20밀리그램(올메사탄메독소밀)","원형","하양","흰색의 원형 필름코팅정제","null","null"
"엘폭사신정(레보플록사신수화물)","원형","하양","미백색의 필름코팅정","null","null"
"올타맥스정10밀리그램(올메사탄메독소밀)","원형","하양","흰색의 원형 필름코팅정","null","null"
"올타맥스플러스정20/12.5밀리그램","원형","주황","연한 주황색의 원형 필름코팅정","null","null"
"올타맥스정40밀리그램(올메사탄메독소밀)","타원형","하양","흰색의 타원형 필름코팅정","null","null"
"올타맥스정20밀리그램(올메사탄메독소밀)","원형","하양","흰색의 원형 필름코팅정","null","null"
"바이포지정5/160밀리그램","타원형","노랑","어두운 노란색의 달걀형 필름코팅정","null","null"
"바이포지정5/80밀리그램","원형","노랑","어두운 노란색의 원형 필름코팅정","null","null"
"바이포지정10/160밀리그램","타원형","주황","밝은 노란색의 달걀형 필름코팅정","null","null"
"케어칼정","타원형","하양","흰색의 타원형 필름코팅정","null","-"
"모사프정(모사프리드시트르산염수화물)","장방형","하양","흰색의 장방형 필름코팅정","null","null"
"위넥스지정 5/160밀리그램","타원형","주황","어두운 황색의 타원형 필름코팅정","null","null"
"칼리나제정(칼리디노게나제)","원형","하양","흰색의 원형 장용성 필름코팅정제","null","null"
"리스테롤정10밀리그램(아토르바스타틴칼슘수화물)","타원형","하양","흰색의 타원형 필름코팅정","null","null"
"디에스반정80밀리그램(발사르탄)","원형","분홍","엷은 분홍색의 양면이 볼록한 원형 필름코팅정","-","null"
"엑스페라정5/80밀리그램","원형","주황","어두운 황색의 원형 필름코팅정제","null","null"
"엑스페라정5/160밀리그램","타원형","주황","어두운 황색의 타원형 필름코팅정","null","null"
"스티바가정40밀리그램(레고라페닙)","타원형","분홍","밝은 분홍색의 타원형 필름코팅정","null","null"
"터비클린정(테르비나핀염산염)","원형","하양","흰색의 원형정제","-","null"
"플리즈구강용해필름100밀리그램(실데나필)","사각형","파랑","파란색 또는 옅은 파란색의 직사각형 구강용해필름제","null","null"
"고든구강용해필름20mg(타다라필)(수출명: CALIBERI)","사각형","노랑","옅은 황색의 직사각형 구강용해필름","null","null"
"류마타민정","장방형","주황","주황색의 장방형 필름코팅정","null","null"
"제뉴원올메사탄정10밀리그램(올메사탄메독소밀)","원형","하양","흰색의 원형 필름코팅정","null","null"
"제뉴원올메사탄정40밀리그램(올메사탄메독소밀)","타원형","하양","흰색의 장방형 필름코팅정","null","null"
"오코돈서방정40밀리그램(옥시코돈염산염)","원형","노랑","노란색의 원형 서방성 필름코팅정","null","null"
"텔미플러스브이정80/12.5밀리그램","타원형","하양","흰색-적색의 두층으로 이루어진 장방형 정제로 흰색층에 적색 반점이 있을수 있음","null","null"
"한림모사프리드정5밀리그램(모사프리드시트르산염수화물)","장방형","하양","흰색의 장방형 필름코팅정제","null","null"
"펙소스타정40밀리그램(페북소스타트)","원형","하양","한 면에 분할선이 있는 흰색의 원형 필름코팅정제","null","-"
"펙소스타정80밀리그램(페북소스타트)","장방형","노랑","한 면에 분할선이 있는 연한 노란색~노란색의 장방형 필름코팅정제","null","-"
"플라리정(클로피도그렐황산염)","원형","분홍","분홍색의 원형 필름코팅정제","null","null"
"아젤라토정(아젤라스틴염산염)","원형","노랑","밝은 황색의 원형 필름코팅정제","null","null"
"명인탄산리튬정150밀리그램","원형","분홍","분홍색의 원형 정제","-","null"
"기스톱정(세티리진염산염)","장방형","하양","흰색의 장방형 필름코팅정","null","null"
"비노스토발포정(알렌드론산나트륨삼수화물)","원형","하양","딸기향이 나는 흰색 또는 회백색의 납작하고 둥근 발포정","null","null"
"리포액틴정40밀리그램(아토르바스타틴칼슘삼수화물)","원형","하양","흰색의 원형 필름코팅정","null","null"
"리포액틴정10밀리그램(아토르바스타틴칼슘삼수화물)","원형","하양","흰색의 원형 필름코팅정","null","null"
"리포액틴정20밀리그램(아토르바스타틴칼슘삼수화물)","원형","하양","흰색의 원형 필름코팅정","null","null"
"세티레인캡슐200mg(아세틸시스테인)","장방형","파랑","흰색의 분말이 충전된 상, 하부 연청색의 경질캡슐제","null","null"
"클로닉스정125밀리그램(클로닉신리시네이트)","원형","하양","흰색의 원형 필름코팅정","null","null"
"쿨펜탑정","장방형","하양","흰색의 장방형 정제","null","null"
"레펜콜정","타원형","하양","흰색의 장방형 필름코팅정","null","null"
"프레야지정60밀리그램(다폭세틴염산염)","원형","회색","회색의 원형 필름코팅정","null","null"
"프레야지정30밀리그램(다폭세틴염산염)","원형","회색","회색의 원형 필름코팅정","null","null"
"루틴스정","장방형","연두","녹색의 장방형 필름코팅 삼중정","null","null"
"유니패스캡슐(실로도신)","장방형","하양","흰색 내지 연한 황백색의 과립 또는 분말이 든 상하부 불투명 흰색의 경질캡슐제","null","null"
"글리알포정(콜린알포세레이트)","타원형","주황","담황색의 장방형 필름코팅정","-","null"
"세비스타정10/40밀리그램","원형","주황","적갈색의 원형 필름코팅정제","null","null"
"키즈애드츄어블정","원형","노랑","흰색~미황색의 원형 정제","null","null"
"렉스판정","장방형","하양","흰색의 장방형 정제","null","null"
"헤파킹캡슐","장방형","하양","흰색의 가루를 함유한 상하부 흰색의 경질캡슐제","null","null"
"칼리다정(칼리디노게나제)","원형","하양","흰색의 원형 장용성 필름코팅정","null","null"
"라토바정20밀리그램(아토르바스타틴칼슘삼수화물)","원형","하양","흰색의 원형 필름코팅정","null","null"
"에스클로버정(건조레드클로버엑스)","원형","분홍","분홍색의 원형필름코팅정","null","null"
"옥시그린캡슐20밀리그램(플루옥세틴염산염)","장방형","노랑","흰색-회백색의 분말이 충진된 상부 녹색, 하부 미황색의 경질캡슐제","null","null"
"토파원정25밀리그램(토피라메이트)","원형","하양","흰색의 원형 필름코팅정제","null","-"
"풀리겐정(클로르족사존)","타원형","하양","흰색의 타원형 정제","null","null"
"피아이졸정20mg(라베프라졸나트륨)","원형","노랑","담황색의 원형 장용필름코팅정","null","null"
"비타엔콜플러스캡슐","장방형","주황","노란색의 결정성 분말이 들어있는 상·하부 주황색의 경질캡슐","null","null"
"알리나제정(스트렙토키나제·스트렙토도르나제)","원형","하양","흰색 또는 엷은 갈색의 원형 정제","null","null"
"엑스듀오정10/160밀리그램","타원형","노랑","밝은 황색의 장방형 필름코팅정","null","null"
"타쎄바정25밀리그램(엘로티닙염산염)","원형","하양","백색 내지 미황색의 원형 필름코팅정","null","null"
"무스콜에스캡슐","장방형","파랑","암갈색의 분말이 든 상 청색, 하 흰색의 불투명한 캡슐제","null","null"
"라베린정10mg(라베프라졸나트륨)","원형","노랑","담황색의 원형 장용 필름코팅정","null","null"
"라베린정20mg(라베프라졸나트륨)","원형","노랑","담황색의 원형 장용 필름코팅정  ","null","null"
"뉴리포에이취알정(티옥트산)","장방형","연두","황녹색의 양쪽이 볼록한 장방형 필름코팅정","null","null"
"지노드론플러스디정","타원형","하양","흰색 내지 회백색의 장방형 정제","null","null"
"실리토정40밀리그램(텔미사르탄)","타원형","하양","흰색의 장타원형 정제","null","null"
"텐탈에프캡슐","장방형","노랑","분홍색의 가루가 든 상.하부 노랑색의 경질캡슐제","null","null"
"디무로칸정150밀리그램(플루코나졸)","타원형","분홍","분홍색의 장방형 정제","null","null"
"하이크라정625mg(아목시실린수화물.클라불란산칼륨(4:1))","장방형","하양","흰색 또는 거의 흰색의 장방형 필름코팅정","null","-"
"유빅스정(클로피도그렐황산수소염)","원형","분홍","분홍색의 원형 필름코팅정제","null","null"
"제이모다정200밀리그램(모다피닐)","장방형","하양","흰색 또는 거의 흰색의 장방형 정제","null","-"
"로바스타정5밀리그램(로수바스타틴칼슘)","원형","주황","노란색의 볼록한 원형 필름코팅정","null","null"
"글리메피젠정2밀리그램(글리메피리드)","기타","초록","녹색의 장방형 정제","-","-"
"로라젠정(로라타딘)","타원형","하양","흰색의 타원형 정제","-","null"
"레바미젠정(레바미피드)","원형","하양","흰색의 원형 필름코팅정","null","null"
"모이드정(모사프리드시트르산염수화물)","장방형","하양","흰색의 장방형 필름코팅정","null","-"
"니자액스정150밀리그램(니자티딘)","원형","노랑","노란색의 원형 필름코팅정","null","null"
"칸데라정8밀리그램(칸데사르탄실렉세틸)","원형","분홍","한 면에 분할선이 있는 양면이 볼록한 원형의 밝은 분홍색 정제","-","null"
"칸데라정16밀리그램(칸데사르탄실렉세틸)","원형","분홍","한 면에 분할선이 있는 양면이 볼록한 원형의 연한 분홍색 정제","-","null"
"에스기프연질캡슐","타원형","초록, 투명","무색 또는 연한 청록색의 투명한 내용물이 든 연청록색의 투명한 장방형 연질캡슐","null","null"
"글로비트정(레보플록사신수화물)","원형","노랑","황색 원형의 필름코팅정","null","null"
"하린서방정(펜톡시필린)","장방형","하양","흰색의 장방형 서방성 필름코팅정제","null","null"
"비클린정","타원형","갈색","황갈색의 타원형 정제 ","null","null"
"엑스로우정5/160밀리그램","타원형","주황","어두운 노란색의 장방형 필름코팅정","null","null"
"이베르탄듀오정150/12.5mg","타원형","분홍","분홍색의 양면이 볼록한 장방형의 필름코팅정제","null","null"
"엑스로우정5/80밀리그램","원형","주황","어두운 노란색의 원형 필름코팅정","null","null"
"위렉스정(모사프리드시트르산염이수화물)","장방형","하양","분할선을 가진 흰색의 장방형 필름코팅정","null","-"
"튜비스정","타원형","주황","타원형의 양쪽이 볼록한 오렌지색의 필름코팅정","null","-"
"바소크린에프연질캡슐(은행엽엑스)","타원형","초록","황갈색의 내용물이 든 녹색의 타원형 연질캡슐","null","null"
"푸루세틴캡슐20밀리그램(플루옥세틴염산염)","장방형","연두","회백색의 가루를 충진한 상부 녹색, 하부 미황색의 경질캡슐제","null","null"
"플로칸캡슐(플루코나졸)","장방형","파랑","흰색의 분말이 충진된 상부 청색, 하부 흰색의 캡슐제","null","null"
"아제라정(아젤라스틴염산염)","원형","노랑","밝은 황색의 원형필름코팅정제","null","null"
"레보코프정(레보드로프로피진)","원형","하양","흰색의 원형 정제","null","null"
"뉴펙스듀오정5mg/20mg","타원형","하양","흰색의 타원형 필름코팅정","null","null"
"프록사신바이정(시프로플록사신염산염수화물)","원형","하양","흰색의 원형 필름코팅정","-","null"
"리드큐텐골드연질캡슐","타원형","검정","적갈색의 내용물이 든 암갈색의 장방형 연질캡슐","null","null"
"바로본에프연질캡슐(빌베리건조엑스)","타원형","검정","진한 갈색의 내용물이 든 진한 갈색의 타원형 연질캡슐제","null","null"
"엑스페인세미정","장방형","노랑","연한 황색의 장방형 필름코팅 정제","null","null"
"엑스페인정","장방형","노랑","연한 황색의 장방형 필름코팅 정제","null","null"
"베타그린연질캡슐","타원형","갈색","적갈색의 내용물을 함유하는 갈색의 장방형 연질캡슐","null","null"
"삼성비스몰정","장방형","분홍","분홍색 타원형의 필름코팅정","null","null"
"콘티박스디연질캡슐","타원형","갈색","등황색의 내용물을 함유한 암갈색의 장방형 연질캅셀","null","null"
"바클렌정(바클로펜)","원형","하양","흰색의 원형정제","null","-"
"몬테락정10밀리그램(몬테루카스트나트륨)","사각형","분홍","연한 살구색의 모서리가 둥근 정사각형 모양의 필름코팅정","null","null"
"알비스D정","장방형","연두","연두색의 장방형 필름코팅정제","null","-"
"토레스판연질캡슐","타원형","초록","흰색의 점조액이 든 녹색의 타원형 연질캡슐","null","null"
"슈바탄정10밀리그램(로수바스타틴칼슘)","원형","분홍","분홍색의 원형 필름코팅정","null","null"
"암로반정5/80밀리그램","원형","주황","어두운 황색의 원형 필름코팅정","null","null"
"암로반정10/160밀리그램","타원형","노랑","황색의 장방형 필름코팅정","null","null"
"부광엔테카비르정1.0밀리그램(엔테카비르수화물)","삼각형","분홍","분홍색의 삼각형 모양의 필름코팅정","null","null"
"올스텍플러스정20/12.5밀리그램","원형","주황","연한 주황색을 띠는 원형의 필름코팅정","null","null"
"니소론엠정(메틸프레드니솔론)","원형","하양","흰색의 원형 정제","null","null"
"아이소펜정(덱시부프로펜)","장방형","하양","흰색 장방형의 필름코팅정제","null","null"
"팜젠암브록솔염산염정30mg","원형","하양","흰색의 원형 정제","null","null"
"크린빅스정(클로피도그렐황산염)","원형","분홍","분홍색의 원형 필름코팅정","null","null"
"디아딘정(암로디핀베실산염)","팔각형","하양","흰색의 팔각형 나정","null","null"
"스타로바정10mg(로수바스타틴칼슘)","원형","분홍","분홍색의 원형 필름코팅정","null","null"
"듀로프렉스캡슐30밀리그램(둘록세틴염산염)","장방형","파랑","흰색 내지 연한 갈색의 장용성 구형과립이 든 상부 청색, 하부 흰색의 경질캡슐제","null","null"
"엑스발탄정10/160밀리그램","타원형","노랑","밝은 황색의 장방형 필름코팅정","null","null"
"로우텍정40밀리그램(올메사탄메독소밀)","타원형","하양","흰색의 타원형 필름코팅정제","null","null"
"비닉스구강붕해필름50밀리그램(실데나필시트르산염)","사각형","노랑","(내수용, 수출용1) : 엷은 황색의 직사각형 구강붕해필름(수출용2) : 엷은 황색의 직사각형 구강붕해필름","null","null"
"한독바클로펜정10밀리그램","원형","하양","흰색의 원형 정제","null","-"
"칼디노정(칼리디노게나제)","원형","하양","흰색의 원형 장용성 필름코팅정","null","null"
"알리겔정(알마게이트)","장방형","하양","흰색의 장방형 정제","null","null"
"씨네졸리드정600밀리그램(리네졸리드)","타원형","하양","흰색의 달걀형 필름코팅정","null","null"
"쎄넥스캡슐(세레콕시브)","장방형","하양","흰색내지 미황색의 분말이 충전된 상하 노란색 줄이있는 흰색의 캡슐제","null","null"
"메가셋세미정","장방형","노랑","연한 황색의 장방형 필름코팅정제","null","null"
"아세틸론정(아세클로페낙)","원형","하양","흰색의 원형 필름코팅제","null","null"
"셀티딘정150mg(라니티딘염산염)","원형","하양","흰색의 원형 필름코팅정","null","null"
"대웅바이오록소프로펜정(록소프로펜나트륨수화물)","원형","하양","흰색∼미황색의 원형 정제","null","null"
"에이유에프정","원형","연두","녹색의 원형 필름코팅정","null","null"
"듀록정400밀리그램(히드록시클로로퀸황산염)","원형","하양","흰색의 원형 필름코팅정","-","null"
"듀록정100밀리그램(히드록시클로로퀸황산염)","원형","하양","흰색의 원형 필름코팅정","null","null"
"듀록정200밀리그램(히드록시클로로퀸황산염)","원형","하양","흰색의 원형 필름코팅정","-","null"
"발트맥스정(발라시클로비르염산염)","장방형","하양","양면이 볼록하며 가늘고 긴 흰색의 장방형 필름코팅정제","null","null"
"큐텐업골드연질캡슐","타원형","검정","빨간색의 내용물이 들어있는 빨간 검은색의 장방형 연질캡슐","null","null"
"엑소닌CR서방정(에페리손염산염)","원형","하양","흰색 내지 거의 흰색의 원형 서방성 필름코팅정","null","null"
"팜시로빈정(팜시클로비르)","원형","하양","흰색의 원형 필름코팅정","null","null"
"피엠에스프라미펙솔정0.5밀리그램(프라미펙솔염산염일수화물)","타원형","하양","흰색의 타원형 정제","-","-"
"피엠에스프라미펙솔정0.25밀리그램(프라미펙솔염산염일수화물)","타원형","하양","흰색의 타원형 정제","-","-"
"낙센연질캡슐(나프록센)","타원형","분홍, 투명","미황색 내지 연분홍색의 투명한 내용물을 함유하는 분홍색 투명의 타원형 연질캡슐제","null","null"
"에소파졸캡슐40mg(에스오메프라졸마그네슘이수화물)","장방형","초록","백색 또는 회색의 구형의 미세 과립이 들어있는 상,하부초록색의 경질캡슐제","null","null"
"글리이틴연질캡슐(콜린알포세레이트)","타원형","갈색","무색투명의 점조한 액을 넣은 담황색을 띤 타원형의 연질캡슐제","null","null"
"에소파졸캡슐20mg(에스오메프라졸마그네슘이수화물)","장방형","초록","백색 또는 회색의 구형의 미세과립이 들어있는 상부청록색,하부미황색의 경질캡슐제","null","null"
"바로티정10밀리그램(타다라필)","기타","노랑","노란색의 아몬드 모양 필름코팅정제","null","null"
"바로티정5밀리그램(타다라필)","타원형","노랑","연한 노란색의 타원형 필름코팅정제","null","null"
"바로티정20밀리그램(타다라필)","기타","노랑","노란색의 아몬드 모양 필름코팅정제","null","null"
"유스메졸캡슐20mg(에스오메프라졸마그네슘이수화물)","장방형","초록","백색 또는 회색의 구형의 미세과립이 들어있는 상부청록색,하부미황색의 경질캡슐제","null","null"
"유스메졸캡슐40mg(에스오메프라졸마그네슘이수화물)","장방형","초록","백색 또는 회색의 구형의 미세 과립이 들어있는 상하부초록색의 경질캡슐제","null","null"
"오구멘탐정375mg","타원형","하양","흰색 또는 거의 흰색의 타원형 필름코팅 정제","null","null"
"디스잘탄정5/50밀리그램","타원형","하양","흰색의 장방형 필름코팅정","null","null"
"위코트정(애엽95%에탄올연조엑스(20->1))","타원형","연두","녹색의 타원형 필름코팅정제","null","null"
"아트졸정(이트라코나졸고체분산체)","원형","하양","흰색 또는 미황색을 띤 원형 필름코팅정","null","null"
"디스잘탄정5/100밀리그램","타원형","분홍","연분홍색의 장방형 필름코팅정","null","null"
"브이라제정(스트렙토키나제·스트렙토도르나제)","원형","분홍","담홍색의 원형 정제","-","null"
"타리민정(베포타스틴니코틴산염)","원형","하양","흰색의 원형 필름코팅정","null","-"
"스탑폴캡슐","장방형","노랑","노랑색의 과립이 충전된 연한 노랑색의 경질캡슐제","null","null"
"웅코나졸정150밀리그램(플루코나졸)","타원형","분홍","분홍색의 장방형 정제","null","null"
"트리페손정(에페리손염산염)","원형","하양","흰색의 원형 필름코팅정","null","null"
"몬테신정10밀리그램(몬테루카스트나트륨)","사각형","주황","모서리가 둥근 사각형 모양의 베이지색 필름코팅정제","null","null"
"알세핀정(콜린알포세레이트)","타원형","주황","담황색의 장방형 필름코팅정","-","null"
"유파시딘R정[애엽이소프로판올연조엑스(20→1)]","원형","연두","녹색의 원형 필름코팅정","null","null"
"타다프리정20밀리그램(타다라필)","삼각형","노랑","분할선을 가진 노란색의 모서리가 둥근 삼각형 모양의 필름코팅정제","-","null"
"올카민정(펠라고니움시도이데스11%에탄올건조엑스(5.5~6.6→1))","원형","갈색","적갈색의 원형필름코팅정","null","null"
"로수젯정10/20밀리그램","타원형","분홍","이 약은 분홍색의  장방형 필름코팅정제이다.","null","-"
"로수젯정10/10밀리그램","타원형","분홍","이 약은 흐린 노란 분홍색의  장방형 필름코팅정제이다.","null","-"
"로수젯정10/5밀리그램","타원형","노랑","이 약은 연한 노란색의 장방형 필름코팅정제이다.","null","-"
"하이잘탄플러스에프정","타원형","연두","미황색의 타원형 필름코팅정제","null","null"
"엑스페인ER서방정","장방형","노랑","연한 황색의 장방형 필름코팅서방정","null","null"
"라벤티드정20mg(라베프라졸나트륨)","원형","노랑","연한 노란색의 원형 장용필름코팅정","null","null"
"슈렌정(애엽95%에탄올연조엑스(20->1))","타원형","연두","녹색의 타원형 필름코팅정","null","null"
"아카드린정","장방형","하양","흰색의 장방형 필름코팅정","null","null"
"코리투살에스노즈연질캡슐","타원형","빨강, 투명","미황색(연노랑) 내지 연한 적색의 투명한 내용물을 함유한 적색의 투명한 타원형 연질캡슐","null","null"
"동구잘탄정5/50밀리그램","타원형","하양","흰색의 장방형 필름코팅정","null","null"
"동구잘탄정5/100밀리그램","타원형","분홍","연분홍색의 장방형 필름코팅정","null","null"
"아르시딘정(애엽95%에탄올연조엑스(20→1))","타원형","연두","녹색의 타원형 필름코팅정","null","null"
"아르텐정(애엽95%에탄올연조엑스(20→1))","타원형","연두","녹색의 타원형 필름코팅정","null","null"
"일라크루드정0.5밀리그램(엔테카비르)","삼각형","하양","흰색-회백색의 삼각형 모양의 필름코팅정","null","null"
"일라크루드정1.0밀리그램(엔테카비르)","삼각형","분홍","분홍색의 삼각형 모양의 필름코팅정","null","null"
"일양바이오아세틸시스테인캡슐200밀리그램","장방형","파랑","흰색의 분말이 충전된 상,하부 연청색의 경질캡슐제","null","null"
"일양바이오세레콕시브캡슐200밀리그램","장방형","하양","흰색 내지 연노랑색의 분말이 충전된 흰색의 캡슐제","null","null"
"크래신정250밀리그램(클래리트로마이신)","타원형","노랑","황색의 타원형 필름코팅정제","null","null"
"일양바이오플루코나졸정150밀리그램","타원형","분홍","분홍색의 장방형 정제","null","null"
"일양바이오클로피도그렐황산염정75밀리그램","원형","분홍","분홍색의 원형 필름코팅정","null","null"
"마그엔지연질캡슐","타원형","갈색","회백색 또는 미황색의 유상물질이 들어있는 적갈색의 장방형 연질캡슐제","null","null"
"디카맥스500/350정","장방형","노랑","밝은 황백색의 장방형 필름코팅정","null","null"
"셀메텍정10밀리그램(올메사탄메독소밀)","원형","하양","흰색의 원형 필름코팅정","null","null"
"이코졸정(이트라코나졸고체분산체)","원형","하양","백색 또는 미황색을 띤 원형 필름코팅정","null","null"
"올메세틸엠플러스정20/12.5밀리그램","원형","주황","연한 주황색을 띠는 원형의 필름코팅정","null","null"
"올메세틸엠정20밀리그램(올메사탄메독소밀)","원형","하양","흰색의 원형 필름코팅정","null","null"
"올메세틸엠정40밀리그램(올메사탄메독소밀)","타원형","하양","흰색의 장방형 필름코팅정","null","null"
"올메세틸엠정10밀리그램(올메사탄메독소밀)","원형","하양","흰색의 원형 필름코팅정","null","null"
